what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906200804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906260873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906266030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906274732
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349906276761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906289856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906300098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1349906300110
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1349906301836
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1349906301913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906303563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906305659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906311609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906320000
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1349906323891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906324230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906332317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906335917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906365206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906368739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349906458208
