what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1349908769013
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349908769026
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349908770998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349908774155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349908836710
activated,perspective,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.Perspective",1349908842337
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.FileExplorerView",1349908842345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349908847519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349908975502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349908976379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349908976530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349908978578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349908978991
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1349908983192
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349908983204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349908985407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349908988443
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349908988540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349908992565
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1349908996767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349909001092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349909005992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349913950563
activated,perspective,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.Perspective",1349913959235
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.FileExplorerView",1349913964895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349913979644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349913979808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349913985258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349913985342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349913991164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349914139823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349914139966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349914141132
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349914141236
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,20.0.3.v201208082019-427395,"overlay.com.android.ide.eclipse.adt.overlay",1349914141409
stopped,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1349914141410
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1349914141410
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1349914141411
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1349914141411
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1349914141411
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1349914141412
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1349914141413
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1349914141414
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1349914141414
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1349914141414
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1349914141415
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1349914141415
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1349914141416
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1349914141416
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1349914141416
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1349914141417
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1349914141417
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1349914141417
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1349914141432
stopped,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1349914141432
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1349914141432
activated,perspective,com.android.ide.eclipse.ddms,,"com.android.ide.eclipse.ddms.Perspective",1349919053437
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1349919053438
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1349919053438
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1349919053438
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1349919053439
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1349919053439
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1349919053439
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1349919053440
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1349919053440
