what,kind,bundleId,bundleVersion,description,time
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349907725998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907736639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907736754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907738382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907738796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907748346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907754643
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1349907767181
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1349907767187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907799583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907824021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907828328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907832363
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1349907836543
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349907836555
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349907837630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1349907841621
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1349907846614
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349907850037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907867817
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1349907868107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907870640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907874016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907877110
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349907878842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907898330
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1349907905975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349907917158
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349907946242
